LABNR,GR,C14AGE,C14STD,C13,COUNTRY,SITE,MAR,MATERIAL,SPECIES,PHASE,LOCUS,SAMPLE,CULTURE,PERIOD,calBC68,calBC95,REGION,LATITUDE,LONGITUDE,INCONGR,NOTICE,REFERENCE,ID
OxA-2101,---,"8850","100",0,Iran,Ganj Dareh,"-",seeds,"hordeum, charred",level D,level D,---,---,PN, 7980 +- 190,8360 - 7600,07.01 N-Zagros,34.42,47.57,---,---,Housley 1994,"1086"
B-108246,---,"8870","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level E, depth 580-585cm","level E, depth 580-585cm",---,PPN,ACN, 8030 +- 140,8310 - 7750,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5697"
P-1486,---,"8888","98",0,Iran,Ganj Dareh,"-",charcoal,---,"level B, phase 4, -2,10 � -2,40 m","level B, phase 4, -2,10 � -2,40 m",---,PPN,ACN, 8010 +- 180,8370 - 7650,07.01 N-Zagros,34.42,47.57,---,Banadora: contemporain ou un peu plus ancien que Gak-994,"Lawn 1970, Hole 1987","1090"
B-108248,---,"8900","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level E, depth 700-710cm","level E, depth 700-710cm",---,PPN,ACN, 8070 +- 120,8310 - 7830,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5699"
GAK-994,---,"8910","170",0,Iran,Ganj Dareh,"-",n.d.,---,"Gd2, � 1 m au-dessus de GD1; level B-C (oder E?)","Gd2, � 1 m au-dessus de GD1; level B-C (oder E?)",---,PPN,ACN, 8020 +- 230,8480 - 7560,07.01 N-Zagros,34.42,47.57,---,LAB GaK- zu GAK-,"Kigoshi 1967, Hole 1987, Banadora","1083"
B-108243,---,"8920","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level C, depth 460-480cm","level C, depth 460-480cm",---,PPN,ACN, 8090 +- 110,8310 - 7870,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5694"
B-108239,---,"8930","60",0,Iran,Ganj Dareh,"-",bone,collagen,"level B, depth 165-180cm","level B, depth 165-180cm",---,PPN,ACN, 8100 +- 120,8340 - 7860,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5690"
B-108245,---,"8940","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level D, depth 580-600cm","level D, depth 580-600cm",---,PPN,ACN, 8110 +- 110,8330 - 7890,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5696"
B-108242,---,"8940","50",0,Iran,Ganj Dareh,"-",bone,collagen,"level B, depth 280-300cm","level B, depth 280-300cm",---,PPN,ACN, 8110 +- 110,8330 - 7890,07.01 N-Zagros,34.42,47.57,---,---,Zeder and Hesse 2000,"5693"
SI-4741,---,"8950","70",0,Iran,Ganj Dareh,"-",n.d.,---,level D,level D,---,PPN,ACN, 8110 +- 130,8370 - 7850,07.01 N-Zagros,34.42,47.57,---,---,"Hole 1987, Voigt and Dyson 1992","1100"
P-1484,---,"8968","100",0,Iran,Ganj Dareh,"-",charcoal,---,"level D, base de la phase 1, -6,20 m","level D, base de la phase 1, -6,20 m",---,PPN,ACN, 8100 +- 160,8420 - 7780,07.01 N-Zagros,34.42,47.57,---,"Banadora: la premi�r phase � architecture, surmonte le niv. E sansarchitecture, plus bas que P-1485, pre-trairement � la soude (NaOH)","Lawn 1970, Hole 1987","1088"
OxA-2100,---,"9010","110",0,Iran,Ganj Dareh,"-",seeds,"Hordeum, charred",level C-D,level C-D,---,---,ACN, 8150 +- 170,8490 - 7810,07.01 N-Zagros,34.42,47.57,---,---,Housley 1994,"1085"
P-1485,---,"9239","196",0,Iran,Ganj Dareh,"-",charcoal,---,"level C, 2�me phase, -4,50 m","level C, 2�me phase, -4,50 m",---,PPN,ACN, 8530 +- 260,9050 - 8010,07.01 N-Zagros,34.42,47.57,---,"Banadora: echantillon trop petit, date mois s�re, plus jeune ue Gak-807, plus ancien que Gak-994","Lawn 1970, Hole 1987","1089"
GAK-807,---,"10400","150",0,Iran,Ganj Dareh,"-",charcoal,charcoal/ ash,"level E, zone cendreuse � la base du Tell","level E, zone cendreuse � la base du Tell",---,PPN,ACN, 10330 +- 290,10910 - 9750,07.01 N-Zagros,34.42,47.57,---,LAB GaK- zu GAK-,"Kigoshi 1967, Hole 1987","1082"
K-879,---,"7760","150",0,Iran,Guran,"-",charcoal,---,niv. H (Neolithique ancien),niv. H (Neolithique ancien),---,PN,PN, 6690 +- 200,7090 - 6290,07.01 N-Zagros,33.73,47.07,---,Banadora: avec ceramique contemporaine de Sarab,"Tauber 1968, Hole 1987","1185"
K-1006,---,"8410","200",0,Iran,Guran,"-",charcoal,Pistacia,"U; niv. preceramique � 0,12 m au-dessus de sol vierge","U; niv. preceramique � 0,12 m au-dessus de sol vierge",---,PPN,ACN, 7420 +- 240,7900 - 6940,07.01 N-Zagros,33.73,47.07,---,"Banadora: correspondant au niv. U du sondage I, la premi�re occupation Guran","Tauber 1968, Hole 1987","1186"
P-1842,---,"5370","80",0,Iran,Hajji Firuz,"-",charcoal,---,"niv. 3a, phase Pisdeli","niv. 3a, phase Pisdeli",---,Pisdeli,PN, 4200 +- 110,4420 - 3980,07.01 N-Zagros,37.04,45.54,---,Banadora: cf. P-1841 = niv. Pisdeli,"Lawn 1974, Voigt 1976, Voigt 1983, Chataigner 1995","1400"
P-1841,---,"5460","80",0,Iran,Hajji Firuz,"-",charcoal,---,"niv. 2, phase Pisdeli","niv. 2, phase Pisdeli",---,Pisdeli,CH, 4290 +- 90,4470 - 4110,07.01 N-Zagros,37.04,45.54,---,"Banadora: cf. P-866, 157, 505 et 504 = niv. Pisdeli","Lawn 1974, Voigt 1976, Voigt 1983, Chataigner 1995","1401"
P-1843,---,"6870","100",0,Iran,Hajji Firuz,"-",charcoal,---,"niv. 6, phase Hajji Firuz, Banadora: phase D","niv. 6, phase Hajji Firuz, Banadora: phase D",---,Neo.,PN, 5780 +- 100,5980 - 5580,07.01 N-Zagros,37.04,45.54,---,Banadora: equivalent de P-455 et P-502,"Lawn 1974, Voigt 1976, Voigt 1983, Hole 1987, Chataigner 1995","1230"
P-502,---,"6895","83",0,Iran,Hajji Firuz,"-",soil,ash and clay,"niv. 4, phase Hajji Firuz","niv. 4, phase Hajji Firuz",---,Neo.,PN, 5800 +- 90,5980 - 5620,07.01 N-Zagros,37.04,45.54,Chataigner 1995: 6900 +- 80 BP,"Banadora: contamination possible par des racines, la base de H.F. est plus ancienne que Dalma et Pisdeli, pre-traitement � la soude (NaOH);","Stuckenrath 1963, Voigt 1976, Voigt 1983, Hole 1987, Chataigner 1995","1232"
P-455,---,"7269","86",0,Iran,Hajji Firuz,"-",charcoal,charcoal and ash,"niv. D 5, phase Hajji Firuz","niv. D 5, phase Hajji Firuz",---,Neo.,PN, 6150 +- 90,6330 - 5970,07.01 N-Zagros,37.04,45.54,Chataigner 1995: 7270 +- 90 BP,"Banadora: Neolithique, plus ancien que la ceramique de Dalma","Stuckenrath 1963, Voigt 1983, Hole 1987, Chataigner 1995","1231"
TUNC-43,---,"4966","84",0,Iran,Jaffarabad,"-",n.d.,---,"3","3",---,Obeid,CH, 3790 +- 110,4010 - 3570,05.03 Lower Mesopotamia,32.21,48.22,---,---,Hole 1987,"1471"
TUNC-3,---,"5062","68",0,Iran,Jaffarabad,"-",n.d.,---,"1","1",---,Obeid,CH, 3860 +- 80,4020 - 3700,05.03 Lower Mesopotamia,32.21,48.22,---,---,Hole 1987,"1469"
TUNC-44,---,"5096","121",0,Iran,Jaffarabad,"-",n.d.,---,"3","3",---,Obeid,CH, 3900 +- 140,4180 - 3620,05.03 Lower Mesopotamia,32.21,48.22,---,---,Hole 1987,"1472"
TUNC-48,---,"5133","94",0,Iran,Jaffarabad,"-",n.d.,---,"3","3",---,Obeid,CH, 3930 +- 120,4170 - 3690,05.03 Lower Mesopotamia,32.21,48.22,---,---,Hole 1987,"1474"
TUNC-46,---,"5141","122",0,Iran,Jaffarabad,"-",n.d.,---,"3","3",---,Obeid,CH, 3960 +- 160,4280 - 3640,05.03 Lower Mesopotamia,32.21,48.22,---,---,Hole 1987,"1473"
TUNC-4,---,"5166","72",0,Iran,Jaffarabad,"-",n.d.,---,"2","2",---,Obeid,CH, 3960 +- 110,4180 - 3740,05.03 Lower Mesopotamia,32.21,48.22,---,---,Hole 1987,"1470"
TUNC-6,---,"5238","72",0,Iran,Jaffarabad,"-",n.d.,---,"2","2",---,Obeid,CH, 4090 +- 100,4290 - 3890,05.03 Lower Mesopotamia,32.21,48.22,---,---,Hole 1987,"1476"
TUNC-5,---,"5246","71",0,Iran,Jaffarabad,"-",n.d.,---,"2","2",---,Obeid,CH, 4100 +- 100,4300 - 3900,05.03 Lower Mesopotamia,32.21,48.22,---,---,Hole 1987,"1475"
P-157,---,"5460","160",0,Iran,Pisdeli,"-",soil,ash,"niv. 5, phase Pisdeli","niv. 5, phase Pisdeli",---,Pisdeli,CH, 4280 +- 180,4640 - 3920,07.01 N-Zagros,37.07,45.56,---,"contexte Obeid, plus ancien que Hasanlu","Ralph 1959, Hole 1987, Chataigner 1995","2352"
P-504,---,"5518","81",0,Iran,Pisdeli,"-",soil,ashy soil,"niv. 5, phase Pisdeli","niv. 5, phase Pisdeli",---,Pisdeli,CH, 4370 +- 80,4530 - 4210,07.01 N-Zagros,37.07,45.56,---,Banadora: pre-traitement � la soude (NaOH),"Stuckenrath 1963, Hole 1987, Chataigner 1995","2353"
P-505,---,"5638","85",0,Iran,Pisdeli,"-",soil,ashy soil,"niv. 10, phase Pisdeli","niv. 10, phase Pisdeli",---,Pisdeli,CH, 4490 +- 100,4690 - 4290,07.01 N-Zagros,37.07,45.56,---,Banadora: cf. P-157,"Stuckenrath 1963, Hole 1987, Chataigner 1995","2354"
P-866,---,"5445","72",0,Iran,Rezaiyeh road,"-",charcoal,---,---,---,---,---,CH, 4270 +- 80,4430 - 4110,07.01 N-Zagros,37.73,45.2,---,"Banadora: couche analogue aux couches anciennes de Pisdeli Tepe, cf. P-157, 505, 504; RY-2",Stuckenrath et al. 1966,"2443"
---,---,"5730","190",0,Iran,RY-2,"-",charcoal,---,---,---,---,---,CH, 4610 +- 210,5030 - 4190,07.01 N-Zagros,37.71,45.15,Labnumber?,"Banadora: coupe pratique par des fabricants de briques, asocie � la ceramique semblable � celle de Pisdeli, LAB Shell-?",Hole et al. 1969,"2442"
I-1500,---,"5410","160",0,Iran,Sabz,"-",wood,carbonised wood (2 mixed samples),"(-3,80 m)","(-3,80 m)",---,Obeid,CH, 4230 +- 170,4570 - 3890,05.03 Lower Mesopotamia,32.59,47.26,---,"Banadora: phase de Mehmeh, date attendue 4000 BC","Buckley et al. 1968, Hole 1987","2744"
SI-205,---,"5700","250",0,Iran,Sabz,"-",wood,Tamarix,"(-1,50 m)","(-1,50 m)",---,Obeid,CH, 4590 +- 280,5150 - 4030,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Bayat,"Long and Mielke 1967, Hole 1987","2748"
SI-156,---,"5770","120",0,Iran,Sabz,"-",wood,"wood, grain","(-3,00 m)","(-3,00 m)",---,Obeid,CH, 4630 +- 130,4890 - 4370,05.03 Lower Mesopotamia,32.59,47.26,---,"Banadora: avec ceramique de le phase Bayat (= Susiane d), date convenable","Long and Mielke 1966, Hole 1987","2745"
I-1503,---,"5860","230",0,Iran,Sabz,"-",wood,carbonised,---,---,---,Obeid,CH, 4770 +- 270,5310 - 4230,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Bayat,"Hole et al. 1969, Hole 1987","2743"
I-1499,---,"6050","140",0,Iran,Sabz,"-",charcoal,---,---,---,---,Obeid,CH, 4980 +- 180,5340 - 4620,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Bya.t,"Hole et al. 1969, Hole 1987","2740"
SI-204,---,"6060","200",0,Iran,Sabz,"-",charcoal,---,"(-1,25 m)","(-1,25 m)",---,Obeid,CH, 4980 +- 240,5460 - 4500,05.03 Lower Mesopotamia,32.59,47.26,---,Baadora phase de Baya.t,"Long and Mielke 1967, Hole 1987","2747"
I-1502,---,"6060","140",0,Iran,Sabz,"-",wood,carbonised wood and grain,"(-3,10 m)","(-3,10 m)",---,Obeid,CH, 4990 +- 180,5350 - 4630,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Bayat,"Buckley et al. 1968, Hole 1987","2742"
UCLA-750A,---,"6070","100",0,Iran,Sabz,"-",charcoal,---,"(-2,70 m)","(-2,70 m)",---,Obeid,CH, 5010 +- 150,5310 - 4710,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Bayat,"Berger et al. 1965, Hole 1987","2750"
SI-203,---,"6170","200",0,Iran,Sabz,"-",charcoal,---,"(-1,25 m)","(-1,25 m)",---,Obeid,CH, 5090 +- 230,5550 - 4630,05.03 Lower Mesopotamia,32.59,47.26,---,"Banadora: ceramique Obeid tardif, phase de Bayat, la serie SI-203 � 206 correspond � SI-156","Long and Mielke 1967, Hole 1987","2746"
I-1493,---,"6470","160",0,Iran,Sabz,"-",charcoal,---,"(-5,00 m)","(-5,00 m)",---,Obeid,CH, 5410 +- 150,5710 - 5110,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Mehmeh,"Buckley et al. 1968, Hole 1987","2738"
I-1497,---,"6740","190",0,Iran,Sabz,"-",charcoal,---,"(-9,60 m)","(-9,60 m)",---,Obeid,CH, 5680 +- 170,6020 - 5340,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Sabz,"Buckley et al. 1968, Hole 1987","2739"
UCLA-750B,---,"6925","200",0,Iran,Sabz,"-",charcoal,---,"(-8,60 m)","(-8,60 m)",---,Obeid,CH, 5830 +- 170,6170 - 5490,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Khazineh,"Berger et al. 1965, Hole 1987","2751"
SI-206,---,"7200","1000",0,Iran,Sabz,"-",charcoal,---,"(-9,40 m)","(-9,40 m)",---,Obeid,CH, 6210 +- 1110,8430 - 3990,05.03 Lower Mesopotamia,32.59,47.26,---,"Banadora: phase de Kazineh, (avec ceramique Obeid ancien ou Hajji Mohammad), echantillon trop petit","Long and Mielke 1967, Hole 1987","2749"
I-1501,---,"7460","160",0,Iran,Sabz,"-",charcoal,---,"(-6,80 m)","(-6,80 m)",---,Obeid,CH, 6310 +- 160,6630 - 5990,05.03 Lower Mesopotamia,32.59,47.26,---,Banadora: phase de Kazineh,"Buckley et al. 1968, Hole 1987","2741"
UCLA-750C,---,"9050","160",0,Iran,Sabz,"-",charcoal,---,"(-10,00 m)","(-10,00 m)",---,Obeid,CH, 8220 +- 250,8720 - 7720,05.03 Lower Mesopotamia,32.59,47.26,Banadora: 9050 +- 150 BP,"Banadora: semble trop vieux de 1000 ans d'apr�s le contexte, phase de Sabz","Berger et al. 1965, Hole 1987","2752"
P-465,---,"7605","96",0,Iran,Sarab,"-",charcoal,charcoal and black soil,niv. 4,niv. 4,"Op. I, S-strip",PN,PN, 6470 +- 100,6670 - 6270,07.01 N-Zagros,34.38,47.09,---,---,"Stuckenrath 1963, Hole 1987","2514"
P-467,---,"7644","89",0,Iran,Sarab,"-",charcoal,charcoal and black soil,sous un sol du niv. 1 (Op. L),sous un sol du niv. 1 (Op. L),---,PN,PN, 6510 +- 80,6670 - 6350,07.01 N-Zagros,34.38,47.09,---,---,"Stuckenrath 1963, Hole 1987","2516"
UCLA-1714A,---,"7850","0",0,Iran,Sarab,"-",bone,---,---,---,---,---,PN,---,---,07.01 N-Zagros,34.38,47.09,site? STD?,---,Mellaart 1975,"2756"
P-466,---,"7956","98",0,Iran,Sarab,"-",charcoal,charcoal and black soil,niv. 1,niv. 1,---,PN,PN, 6870 +- 150,7170 - 6570,07.01 N-Zagros,34.38,47.09,---,"Banadora: maison enterrees, le site plus ancien du nord-ouest de l'Iran","Stuckenrath 1963, Hole 1987","2515"
SI-4910,---,"5020","70",0,Iran,Seh Gabi B,"-",n.d.,---,early level 2,early level 2,---,---,CH, 3830 +- 90,4010 - 3650,07.01 N-Zagros,34.59,48.04,---,Banadora: Godin IX,"Henrickson 1983, Voigt and Dyson 1992","2761"
SI-4914,---,"5160","85",0,Iran,Seh Gabi B,"-",n.d.,---,transition Godin X/IX,transition Godin X/IX,---,---,CH, 3960 +- 120,4200 - 3720,07.01 N-Zagros,34.59,48.04,---,Banadora: Godin X/IX,"Henrickson 1983, Voigt and Dyson 1992","2763"
SI-4912,---,"5180","50",0,Iran,Seh Gabi B,"-",n.d.,---,early level 2,early level 2,---,---,CH, 4000 +- 50,4100 - 3900,07.01 N-Zagros,34.59,48.04,---,Banadora: Godin IX,"Henrickson 1983, Voigt and Dyson 1992","2762"
SI-4911,---,"5240","60",0,Iran,Seh Gabi B,"-",n.d.,---,early level 2,early level 2,---,---,CH, 4090 +- 90,4270 - 3910,07.01 N-Zagros,34.59,48.04,---,Banadora: Godin IX,"Henrickson 1983, Voigt and Dyson 1992","2765"
SI-4913,---,"5430","50",0,Iran,Seh Gabi B,"-",n.d.,---,niv. 3,niv. 3,---,---,CH, 4290 +- 50,4390 - 4190,07.01 N-Zagros,34.59,48.04,---,Banadora: Godin IX,"Henrickson 1983, Voigt and Dyson 1992","2764"
SI-4909,---,"5500","60",0,Iran,Seh Gabi B,"-",n.d.,---,late level 2,late level 2,---,---,CH, 4360 +- 70,4500 - 4220,07.01 N-Zagros,34.59,48.04,---,Banadora: Godin IX,"Henrickson 1983, Voigt and Dyson 1992","2760"
SI-4915,---,"5630","80",0,Iran,Seh Gabi B,"-",n.d.,---,late level 6,late level 6,---,---,CH, 4480 +- 90,4660 - 4300,07.01 N-Zagros,34.59,48.04,---,Banadora: Godin X,"Henrickson 1983, Voigt and Dyson 1992","2759"
SI-2670,---,"6055","80",0,Iran,Seh Gabi C,"-",n.d.,---,---,---,---,Shahnabad,CH, 4980 +- 120,5220 - 4740,07.01 N-Zagros,34.6,48.01,---,Banadora: phase Shahnabad,"Levine et al. 1977, Hole 1987","2540"
SI-2669,---,"6195","105",0,Iran,Seh Gabi C,"-",n.d.,---,---,---,---,Shahnabad,CH, 5140 +- 130,5400 - 4880,07.01 N-Zagros,34.6,48.01,---,Banadora: phase Shanabad,"Levine et al. 1977, Hole 1987","2539"
SI-2668,---,"6220","80",0,Iran,Seh Gabi C,"-",n.d.,---,---,---,---,Shahnabad,CH, 5170 +- 110,5390 - 4950,07.01 N-Zagros,34.6,48.01,---,Banadora: phase Shahnabad,"Levine et al. 1977, Hole 1987","2538"
P-442,---,"5815","83",0,Iran,Siabid,"-",charcoal,charcoal and clay,niv. 1,niv. 1,---,Obeid,CH, 4670 +- 100,4870 - 4470,07.01 N-Zagros,34.37,47.12,---,"Banadora: Suse B, C ou Obeid ancien","Stuckenrath 1963, Hole 1987","2587"
QU-1035,---,"5870","120",0,Iran,Siabid,"-",n.d.,---,niv. 1,niv. 1,---,Obeid,CH, 4750 +- 150,5050 - 4450,07.01 N-Zagros,34.37,47.12,---,---,"Henrickson 1983, Hole 1987, Voigt and Dyson 1992","2588"
TUNC-59,---,"4636","93",0,Iran,Susa,"-",n.d.,---,17/16 Uruk,17/16 Uruk,---,Uruk,CH, 3370 +- 160,3690 - 3050,05.03 Lower Mesopotamia,32.11,48.22,---,---,"Stuckenrath and Mielke 1973, Renfrew 1978","2730"
---,---,"5093","105",0,Iran,Susa,"-",n.d.,---,A1,A1,---,Obeid,CH, 3890 +- 120,4130 - 3650,05.03 Lower Mesopotamia,32.11,48.22,Labnumber?,LAB Brussels,Hole 1987,"2725"
GrN-6054,---,"5433","75",0,Iran,Susa,"-",n.d.,---,A2,A2,---,Obeid,CH, 4250 +- 90,4430 - 4070,05.03 Lower Mesopotamia,32.11,48.22,---,---,Hole 1987,"2727"
GrN-6052,---,"5531","40",0,Iran,Susa,"-",n.d.,---,A2,A2,---,Obeid,CH, 4390 +- 40,4470 - 4310,05.03 Lower Mesopotamia,32.11,48.22,---,---,Hole 1987,"2726"
P-912,---,"5581","72",0,Iran,Susa,"-",n.d.,---,6 = A2,6 = A2,---,Obeid,CH, 4430 +- 60,4550 - 4310,05.03 Lower Mesopotamia,32.11,48.22,---,---,Hole 1987,"2728"
TUNC-58,---,"5665","121",0,Iran,Susa,"-",n.d.,---,II,II,---,Obeid,CH, 4530 +- 130,4790 - 4270,05.03 Lower Mesopotamia,32.11,48.22,---,---,Hole 1987,"2729"
P-1245,---,"5090","56",0,Iran,Yanik,"-",charcoal,---,niv. MC 8 (phase Pisdeli),niv. MC 8 (phase Pisdeli),---,Pisdeli,PN, 3880 +- 70,4020 - 3740,07.01 N-Zagros,37.99,45.95,---,---,"Stuckenrath and Lawn 1969, Chataigner 1995","3051"
P-1246,---,"5267","73",0,Iran,Yanik,"-",charcoal,---,niv. MC 17 (phase Pisdeli),niv. MC 17 (phase Pisdeli),---,Pisdeli,PN, 4120 +- 100,4320 - 3920,07.01 N-Zagros,37.99,45.95,---,Banadora: pre-traitement � la soude (NaOH),"Stuckenrath and Lawn 1969, Chataigner 1995","3052"
P-1243,---,"6926","80",0,Iran,Yanik,"-",charcoal,---,niv. P 5 (phase Hajji Firuz),niv. P 5 (phase Hajji Firuz),---,Late Neo.,PN, 5830 +- 80,5990 - 5670,07.01 N-Zagros,37.99,45.95,or 6980 +- 80 BP?,"Banadora: Neolithic recent, pre-traitement � la soude (NaOH)","Stuckenrath and Lawn 1969, Hole 1987, Chataigner 1995","3012"
P-1244,---,"7035","69",0,Iran,Yanik,"-",charcoal,---,niv. P 7 (phase Hajji Firuz),niv. P 7 (phase Hajji Firuz),---,Late Neo.,PN, 5910 +- 80,6070 - 5750,07.01 N-Zagros,37.99,45.95,or 7040 +- 70 BP?,"Banadora: Neolithique recent, pre-traitement � la soude (NaOH)","Stuckenrath and Lawn 1969, Hole 1987, Chataigner 1995, Banadora","3013"
TUNC-10,---,"4910","70",0,Iran,Zaghe,"-",n.d.,---,"niv. I, Cheschmeh Ali","niv. I, Cheschmeh Ali",---,---,CH, 3720 +- 70,3860 - 3580,07.04 C-Iran,35.85,49.63,---,---,Bovington and Masoumi 1972,"3069"
TUNC-12,---,"7147","91",0,Iran,Zaghe,"-",wood,carbonised,"-2,89 m","-2,89 m",---,---,CH, 6030 +- 100,6230 - 5830,07.04 C-Iran,35.85,49.63,---,Banadora: avec du materiel plus ancien que Sialk I,Bovington and Masoumi 1972,"3070"
Y-934,---,"5460","120",0,Iran,Zeribar,"-",n.d.,---,---,---,---,---,CH, 4280 +- 150,4580 - 3980,07.01 N-Zagros,35.55,46.12,---,---,Hole 1987,"3068"
Y-1160,---,"14800","300",0,Iran,Zeribar,"-",n.d.,---,---,---,---,---,---, 15970 +- 500,16970 - 14970,07.01 N-Zagros,35.55,46.12,---,---,Hole 1987,"3067"
BM-1823,---,"5770","45",0,Iraq,Abadah,"-",charcoal,---,level II-III,level II-III,---,---,PN, 4620 +- 60,4740 - 4500,05.03 Lower Mesopotamia,33.97,44.83,---,---,Burleigh et al. 1982b,"389"
BM-1822,---,"31000","1250",0,Iraq,Abadah,"-",charcoal,---,level I,level I,---,---,---, 34420 +- 1560,37540 - 31300,05.03 Lower Mesopotamia,33.97,44.83,---,"Banadora: date aberrante : contamination par four ""industriel"" (?) ou carbone de bitume",Burleigh et al. 1982b,"388"
