site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,reference,source,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,comment
,Ali Agha,,,P-1499,charcoal,,6927,63,,Lawn 1973,CONTEXT,,,,,,,,,,,
,Ali Kosh,BM,,B-108256,unknown,,8000,50,,Zeder & Hesse 2000,CONTEXT,,,,,,,,,,,
,Ali Kosh,MJ,,B-118719,unknown,,8130,70,,Zeder & Hesse 2000,CONTEXT,,,,,,,,,,,
,Ali Kosh,,,B-118720,unknown,,8140,70,,Zeder & Hesse 2000,CONTEXT,,,,,,,,,,,
,Ali Kosh,AK,,B-118722,unknown,,8110,80,,Zeder & Hesse 2000,CONTEXT,,,,,,,,,,,
,Ali Kosh,,,B-118723,unknown,,8490,90,,Zeder & Hesse 2000,CONTEXT,,,,,,,,,,,
,Ali Kosh,,,B-118724,unknown,,8340,100,,Zeder & Hesse 2000,CONTEXT,,,,,,,,,,,
,Ali Kosh,,,B-122721,unknown,,8540,90,,Zeder & Hesse 2000,CONTEXT,,,,,,,,,,,
,Ali Kosh,,,H-1833,charcoal,,8425,180,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,H-1845,unknown,organic material,8250,175,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,H-1848,unknown,matiÃ¨re organique,7770,330,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,I-1489,plant remains,carbinized grain,7660,170,,"Buckley et al. 1968, Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,I-1490,charcoal,,9950,190,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,I-1491,charcoal,charcoal/ ash,8100,170,,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,I-1494,charcoal,charcoal/ ash,7820,190,,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,I-1495,charcoal,charcoal/ ash,7220,160,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,I-1496,plant remains,carbinized grain ans ash,7380,130,,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,O-1816,charcoal,,8425,180,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,OxA-1773,bone,"metapodial (chÃ¨vre), burnt",7830,90,,Housley 1994,CONTEXT,,,,,,,,,,,
,Ali Kosh,,,OxA-1774,bone,"astralagus (chÃ¨vre), burnt",7950,110,,Housley 1994,CONTEXT,,,,,,,,,,,
,Ali Kosh,,,OxA-1775,bone,"petrous, (chÃ¨vre), burnt",7480,90,,Housley 1994,CONTEXT,,,,,,,,,,,
,Ali Kosh,,,S-1174,charcoal,,8850,210,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,S-1246,charcoal,,8410,200,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,SI-160,plant remains,"prosopis sp., ash and grain",8920,100,,"Long and Mielke 1966, Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,SI-160R,plant remains,"prosopis sp., ash and grain",8890,200,,"Long and Mielke 1966, Hole et al. 1969",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,SI-207,charcoal,,7740,600,,"Long and Mielke 1967, Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Ali Kosh,,,UCLA-750D,charcoal,,9900,200,,"Berger et al. 1965, Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Arpachiyah,,,BM-1531,charcoal,,6930,60,,"Hijara et al. 1980, Burleigh et al. 1982a, Watson 1983, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Arpachiyah,,,P-584,charcoal,charcoal/ ash,7027,83,,"Stuckenrath and Ralph 1965, Coursaget and Le Run 1966, Bernbeck 1994, Chataigner 1995",CONTEXT,,,,,,,,,,,
,Arpachiyah,,,P-585,charcoal,charcoal/ ash,8064,78,,Stuckenrath and Ralph 1965,CONTEXT,,,,,,,,,,,
TCEC50,Asiab,,(2035) <2220>,AAR-26652,plant remains,,9959,30,-26.08,TCEC,TCEC,,,,,,,,,,,
TCEC50,Asiab,,(2035) <2154>,AAR-26653,plant remains,,9980,39,-24.69,TCEC,TCEC,,,,,,,,,,,
TCEC50,Asiab,,(2041) <2085>,AAR-26654,plant remains,,9940,37,-26.42,TCEC,TCEC,,,,,,,,,,,
TCEC50,Asiab,,(2044) <2166>,AAR-26655,plant remains,,9917,27,-26.18,TCEC,TCEC,,,,,,,,,,,
TCEC50,Asiab,,(2054) <2224>,AAR-26656,plant remains,,10024,50,-25.34,TCEC,TCEC,,,,,,,,,,,
TCEC50,Asiab,,(2054) <2217>,AAR-26657,plant remains,,9900,56,-11.37,TCEC,TCEC,,,,,,,,,,,
TCEC50,Asiab,,(2062) <2262>,AAR-26658,plant remains,,9901,41,-25.01,TCEC,TCEC,,,,,,,,,,,
TCEC50,Asiab,,(2061) <2243>,AAR-26659,Dung?,,9912,26,-23.79,TCEC,TCEC,,,,,,,,,,,Material uncertain
TCEC50,Asiab,,,B-159552,bone collagen,,7790,60,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC50,Asiab,,,B-159554,bone collagen,,9370,60,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC50,Asiab,,,B-159555,bone collagen,,9480,80,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC50,Asiab,,,GrN-6413,charcoal,,9755,85,,Howe 1986,Darabi 2015 (BAR),,,,,,,,,,,
TCEC50,Asiab,,,GrN-6434,charcoal,,9755,85,,"Howe 1983, Hole 1987, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
TCEC50,Asiab,,,UCLA-1714B,bone collagen,,8900,100,,Howe 1984,Darabi 2015 (BAR),,,,,,,,,,,
TCEC50,Asiab,,,UCLA-1714C,bone collagen,Ovicaprid,8700,100,,Howe 1983,Darabi 2015 (BAR),,,,,,,,,,,
TCEC50,Asiab,,,UCLA-1714F,bone collagen,Ovicaprid,9050,300,,Howe 1985,Darabi 2015 (BAR),,,,,,,,,,,
,Bakun B,,,P-438,charcoal,,5990,81,,Stuckenrath 1963,CONTEXT,,,,,,,,,,,
,Bakun B,,,P-931,soil,ash,6246,70,,Stuckenrath et al. 1966,CONTEXT,,,,,,,,,,,
,Banahilk,,,P-1501,unknown,material from hearth,6309,78,,"Lawn 1973, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Banahilk,,,P-1502,charcoal,,6752,85,,"Lawn 1973, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Banahilk,,,P-1504,shell,Helix,6854,72,,"Lawn 1973, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Bog-i-No,,,I-1492,charcoal,,6200,140,,Hole et al. 1969,CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-293,unknown,,8000,710,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-294,unknown,,8760,150,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-295,unknown,,9690,100,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-296,unknown,,8760,165,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-297,unknown,,8040,90,,Hole 1987,CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-300,unknown,,11270,90,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-302,unknown,,8085,145,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-305,unknown,,10425,145,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UCLA-310,unknown,,9530,145,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Chagha Sefid,,,UGa-291,unknown,,7730,110,,"Hole 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Choga Mami,,,BM-483,charcoal,,6846,182,,"Oates 1972, Burleigh et al. 1977, Hole 1987, Bernbeck 1994",CONTEXT,,,,,,,,,,,
TCEC54,Chogha Golan,I,,Beta-335608,charcoal,,9637,54,,Riehl et al. 2013,Darabi 2015 (BAR),,,,,,,,,,,
TCEC54,Chogha Golan,II,,Beta-335610,,Triticum,9831,82,,Riehl et al. 2013,Darabi 2015 (BAR),,,,,,,,,,,
TCEC54,Chogha Golan,III,,Erl-14838,,Hordeum,9788,84,,Riehl et al. 2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC54,Chogha Golan,IV,,Erl-14839,,Hordeum,10037,94,,Riehl et al. 2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC54,Chogha Golan,III,,Erl-14840,,Poaceae,9839,81,,Riehl et al. 2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC54,Chogha Golan,VIII,,KIA-43836,plant remains,Hordeum,10656,53,,Riehl et al. 2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC54,Chogha Golan,XI,,KIA-44944,plant remains,Hordeum,11054,129,,Riehl et al. 2013,Darabi 2015 (BAR),,,,,,,,,,,
TCEC54,Chogha Golan,XII,,KIA-45647,plant remains,Hordeum,11740,187,,Riehl et al. 2013,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,,,Erl-14835,,Fabaceae,9228,39,,Riehl et al. 2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,,,Erl-14836,shell,Pistacia,8928,37,,Riehl et al. 2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,,,Erl-14837,,Fabaceae,8709,37,,Riehl et al. 2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,2026,,OxA-20994,charcoal,,8750,45,,Darabi et al.2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,2028,,OxA-21028,charcoal,,8830,45,,Darabi et al.2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,2037,,OxA-21029,charcoal,,8830,45,,Darabi et al.2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,2042,,OxA-21030,charcoal,,9015,39,,Darabi et al.2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,2044,,OxA-21031,charcoal,,9180,40,,Darabi et al.2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC55,East Chia Sabz,2046,,OxA-21032,charcoal,,9225,40,,Darabi et al.2012,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,A,,B-108238,bone collagen,,8780,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,B-108239,bone collagen,,8930,60,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,B-108240,bone collagen,,8780,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,B-108241,bone collagen,,8720,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,B-108242,bone collagen,,8940,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,C,,B-108243,bone collagen,,8920,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,B-108244,bone collagen,,8840,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,B-108245,bone collagen,,8940,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,B-108246,bone collagen,,8870,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,B-108247,bone collagen,,8830,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,B-108248,bone collagen,,8900,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,B-108249,bone collagen,,8840,50,,Zeder & Hesse 2000,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,Beta-432800,bone collagen,Homo sapiens,8860,50,,Meiklejohn et al. 2017,,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,Beta-436170,bone collagen,Homo sapiens,9000,40,,Meiklejohn et al. 2017,,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,GAK-807,charcoal,,10400,150,,Smith 1972,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D/E,,GAK-994,charcoal,,8910,170,,Hesse 1978,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,OxA-2099,plant remains,Hordeum vulgare,8840,110,,Housley 1994,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,C/D,,OxA-2100,plant remains,Hordeum vulgare,9010,110,,Housley 1994,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,OxA-2101,plant remains,Hordeum vulgare,8850,110,,Housley 1994,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,OxA-2102,plant remains,Hordeum vulgare,8690,110,,Housley 1994,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,P-1484,bone collagen,,8970,100,,Hesse 1978,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,P-1485,bone collagen,,9239,196,,Lawn 1970,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,P-1486,bone collagen,,8890,100,,Hesse 1978,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,C,,Poz-81100,bone collagen,Homo sapiens,8780,50,,Meiklejohn et al. 2017,,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,Poz-81109,bone collagen,Homo sapiens,8800,50,,Meiklejohn et al. 2017,,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,Poz-81114,bone collagen,Homo sapiens,8850,50,,Meiklejohn et al. 2017,,,,,,,,,,,,
TCEC107,Ganj Dareh,A,,SI-4732,unknown,,8590,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,SI-4733,unknown,,8525,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,SI-4734,unknown,,8110,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,B,,SI-4735,unknown,,8460,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,C,,SI-4736,unknown,,8450,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,C,,SI-4737,unknown,,8650,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,SI-4738,unknown,,8485,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,SI-4739,unknown,,8140,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,SI-4740,unknown,,8535,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,D,,SI-4741,unknown,,8950,70,,Hole 1987b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,SI-922,charcoal,,8570,310,,Hesse 1978,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,SI-923,charcoal,,8630,200,,Hesse 1978,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,SI-924,charcoal,,8640,90,,Hesse 1978,Darabi 2015 (BAR),,,,,,,,,,,
TCEC107,Ganj Dareh,E,,SI-925,charcoal,,8340,80,,Hesse 1978,Darabi 2015 (BAR),,,,,,,,,,,
,Gap A,,,GAK-197,soil,,5870,160,,"Kigoshi and Endo 1963, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Gap A,,,GAK-198,soil,,5440,120,,"Kigoshi and Endo 1963, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Gawra,,,C-817,soil,,5400,325,,"Libby 1955, Science 127, 1958",CONTEXT,,,,,,,,,,,
,Gawra,,,P-1494,soil,,7002,82,,Lawn 1973,CONTEXT,,,,,,,,,,,
,Gawra,,,P-1495,soil,,6420,61,,Lawn 1973,CONTEXT,,,,,,,,,,,
,Gawra,,,P-1496,soil,,5991,72,,Lawn 1973,CONTEXT,,,,,,,,,,,
,Gawra,,,P-1497,soil,,5787,72,,Lawn 1973,CONTEXT,,,,,,,,,,,
,Hajji Firuz,5,,P-455,charcoal,,7270,90,,Chataigner 1995,CONTEXT,,,,,,,,,,,
,Hajji Firuz,4,,P-502,soil,,6900,80,,Chataigner 1995,CONTEXT,,,,,,,,,,,
,Hassuna,,,W-609,charcoal,,3030,200,,Rubin and Alexander 1960,CONTEXT,,,,,,,,,,,
,Hassuna,,,W-660,charcoal,,7040,200,,"Science 127, 1958, Rubin and Alexander 1960, Bernbeck 1994, Chataigner 1995",CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-3,unknown,,5062,68,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-4,unknown,,5166,72,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-43,unknown,,4966,84,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-44,unknown,,5096,121,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-46,unknown,,5141,122,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-48,unknown,,5133,94,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-5,unknown,,5246,71,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-6,unknown,,5238,72,,Hole 1987,CONTEXT,,,,,,,,,,,
