site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,reference,source,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,comment
,Palegawra,,,GrN-6415,charcoal,,11590,95,,"Henry and Servello 1974, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Palegawra,Zarzian,80–100 cm depth,UCLA-1703A,bone collagen,,13350,460,,Turnbull & Reed 1974,,3,1,3,1,2,3,2,1,3,19,
,Palegawra,,,UCLA-1703D,bone collagen,,14210,80,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,Palegawra,Zarzian,120 cm depth,UCLA-1714D,bone collagen,Ovicaprid,14400,760,,Turnbull & Reed 1974,,3,1,3,1,2,3,2,1,3,19,
,Qermez Dere,,,OxA-3752,unknown,,10145,90,,Banadora,CONTEXT,,,,,,,,,,,
,Qermez Dere,,,OxA-3753,unknown,,11990,100,,Banadora,CONTEXT,,,,,,,,,,,
,Qermez Dere,,,OxA-3754,unknown,,9580,95,,Banadora,CONTEXT,,,,,,,,,,,
,Qermez Dere,,,OxA-3755,unknown,,9710,85,,Banadora,CONTEXT,,,,,,,,,,,
,Qermez Dere,,,OxA-3756,unknown,,10115,95,,Banadora,CONTEXT,,,,,,,,,,,
,Qermez Dere,,,OxA-3757,unknown,,9640,85,,Banadora,CONTEXT,,,,,,,,,,,
,Sabz,,,I-1493,charcoal,,6470,160,,"Buckley et al. 1968, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,I-1497,charcoal,,6740,190,,"Buckley et al. 1968, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,I-1499,charcoal,,6050,140,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,I-1500,wood,,5410,160,,"Buckley et al. 1968, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,I-1501,charcoal,,7460,160,,"Buckley et al. 1968, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,I-1502,wood,,6060,140,,"Buckley et al. 1968, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,I-1503,wood,,5860,230,,"Hole et al. 1969, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,SI-156,wood,,5770,120,,"Long and Mielke 1966, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,SI-203,charcoal,,6170,200,,"Long and Mielke 1967, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,SI-204,charcoal,,6060,200,,"Long and Mielke 1967, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,SI-205,wood,Tamarix,5700,250,,"Long and Mielke 1967, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,SI-206,charcoal,,7200,1000,,"Long and Mielke 1967, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,UCLA-750A,charcoal,,6070,100,,"Berger et al. 1965, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,UCLA-750B,charcoal,,6925,200,,"Berger et al. 1965, Hole 1987",CONTEXT,,,,,,,,,,,
,Sabz,,,UCLA-750C,charcoal,,9050,160,,"Berger et al. 1965, Hole 1987",CONTEXT,,,,,,,,,,,
,Seh Gabi B,,,SI-4909,unknown,,5500,60,,"Henrickson 1983, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Seh Gabi B,,,SI-4910,unknown,,5020,70,,"Henrickson 1983, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Seh Gabi B,,,SI-4911,unknown,,5240,60,,"Henrickson 1983, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Seh Gabi B,,,SI-4912,unknown,,5180,50,,"Henrickson 1983, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Seh Gabi B,,,SI-4913,unknown,,5430,50,,"Henrickson 1983, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Seh Gabi B,,,SI-4914,unknown,,5160,85,,"Henrickson 1983, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Seh Gabi B,,,SI-4915,unknown,,5630,80,,"Henrickson 1983, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Seh Gabi C,,,SI-2668,unknown,,6220,80,,"Levine et al. 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Seh Gabi C,,,SI-2669,unknown,,6195,105,,"Levine et al. 1977, Hole 1987",CONTEXT,,,,,,,,,,,
,Seh Gabi C,,,SI-2670,unknown,,6055,80,,"Levine et al. 1977, Hole 1987",CONTEXT,,,,,,,,,,,
TCEC56,Sheikh-e Abad,,"Trench 2, C617, ash layer, S65",Beta-258646,plant remains,Vicia ervilia,8840,60,-23.2,Matthews et al. 2013b,,,,,,,,,,,,
TCEC56,Sheikh-e Abad,,"Trench 1, C512, ash layer, S75",Beta-258647,plant remains,Astragalus,10130,60,,Matthews et al. 2013b,,,,,,,,,,,,
TCEC56,Sheikh-e Abad,,"Trench 3, C800, Building 2, 'shrine' floor, S800a",Beta-258648,bone collagen,Ovicaprid,8600,40,-18.9,Matthews et al. 2013b,,,,,,,,,,,,
TCEC56,Sheikh-e Abad,,"Trench 1, C515, ash layer, S2",Beta-267508,charcoal,,9970,50,-23.8,Matthews et al. 2013b,,,,,,,,,,,,
TCEC56,Sheikh-e Abad,,"Trench 1, C511, ash layer, S68",Beta-267509,plant remains,Poaceae,9730,60,-22.7,Matthews et al. 2013b,,,,,,,,,,,,
,Shimshara,,,K-951,ceramic,,7940,150,,"Tauber 1968, Hole 1987, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Shimshara,,,K-960,unknown,,7300,150,,"Tauber 1968, Hole 1987, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Shimshara,,,K-972,ceramic,,7820,150,,"Tauber 1968, Hole 1987, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Shimshara,,,K-981,ceramic,,10030,160,,"Tauber 1968, Hole 1987, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Siabid,,,P-442,charcoal,charcoal and clay,5815,83,,"Stuckenrath 1963, Hole 1987",CONTEXT,,,,,,,,,,,
,Siabid,,,QU-1035,unknown,,5870,120,,"Henrickson 1983, Hole 1987, Voigt and Dyson 1992",CONTEXT,,,,,,,,,,,
,Susa,,,GrN-6052,unknown,,5531,40,,Hole 1987,CONTEXT,,,,,,,,,,,
,Susa,,,GrN-6054,unknown,,5433,75,,Hole 1987,CONTEXT,,,,,,,,,,,
,Susa,,,P-912,unknown,,5581,72,,Hole 1987,CONTEXT,,,,,,,,,,,
,Susa,,,TUNC-58,unknown,,5665,121,,Hole 1987,CONTEXT,,,,,,,,,,,
,Susa,,,TUNC-59,unknown,,4636,93,,"Stuckenrath and Mielke 1973, Renfrew 1978",CONTEXT,,,,,,,,,,,
,Susa,,,UNKNOWN-004,unknown,,5093,105,,Hole 1987,CONTEXT,,,,,,,,,,,
,Tall-e Bakun A,Level 3,"Sq. BB 27, trash heap near oven",Beta-207562,plant remains,,5560,40,,Alizadeh 2006,Alizadeh 2006,,,,,,,,,,,
,Tall-e Bakun A,Level 4,"Sq. BB 27, trash deposit",Beta-210983,plant remains,,5570,40,,Alizadeh 2006,Alizadeh 2006,,,,,,,,,,,
,Tall-e Bakun B,Bakun B2,"Stratigraphic trench, 1.90 m above virgin soil, occupational debris",Beta-210985,plant remains,,6460,40,,Alizadeh 2006,Alizadeh 2006,,,,,,,,,,,
,Tall-i Jari A,Bakun B1,"20 cm above virgin soil, occupational debris",AA-63492,bone,,6280,69,,Alizadeh 2006,Alizadeh 2006,,,,,,,,,,,
,Tall-i Jari A,Bakun B1,"Feature 13, Oven",Beta-207564,plant remains,,6170,40,,Alizadeh 2006,Alizadeh 2006,,,,,,,,,,,
,Tall-i Jari A,Bakun B1,"Feature 9, Oven",Beta-210982,plant remains,,6010,40,,Alizadeh 2006,Alizadeh 2006,,,,,,,,,,,
,Tall-i Jari B,Level 8,"WT, Layer 6, R5a",AA-56410,bone,,7173,71,-17.2,Mashkour et al. 2006,Nishiaki 2017,,,,,,,,,,,
,Tall-i Jari B,Level 4,"AIII, Layer 5, R7-fill",AA-56411,bone,,7259,74,-13.7,Mashkour et al. 2006,Nishiaki 2017,,,,,,,,,,,
,Tall-i Jari B,Level 1,"C, Layer 2",AA-56412,bone,,6939,72,-17.6,Mashkour et al. 2006,Nishiaki 2017,,,,,,,,,,,
,Tall-i Jari B,Level 1,"AIII, Layer 1–2",AA-56413,bone,,6867,50,-19.4,Mashkour et al. 2006,Nishiaki 2017,,,,,,,,,,,
,Tall-i Jari B,Level 4,"WT, Layer 2, R1-fill",AA-56415,bone,,7127,69,-15.5,Mashkour et al. 2006,Nishiaki 2017,,,,,,,,,,,
,Tall-i Jari B,,"50 cm above virgin soil, occupational debris",AA-65264,bone,,7297,45,,Alizadeh 2006,Nishiaki 2017,,,,,,,,,,,
,Tall-i Jari B,,"-1.65 m below surface, oven?",Beta-207565,bone,,7140,40,,Alizadeh 2006,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 3,MS-K11-3a,AA-56409,bone collagen,,7347,71,-18,Mashkour et al. 2006,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 22,Above virgin soil,AA-63493,plant remains,,7707,76,,Alizadeh 2006,Nishiaki 2017,,,,,,,,,,,Discrepency between Alizadeh's levels and Nishiaki's levels?
,Tall-i Mushki,Level 17,Burnt surface,Beta-207563,plant remains,,7220,40,,Alizadeh 2006,Nishiaki 2017,,,,,,,,,,,Discrepency between Alizadeh's levels and Nishiaki's levels?
,Tall-i Mushki,Level 12,Occupational debris,Beta-210984,plant remains,,7250,40,,Alizadeh 2006,Nishiaki 2017,,,,,,,,,,,Discrepency between Alizadeh's levels and Nishiaki's levels?
,Tall-i Mushki,Level 2,,TK-34,charcoal,,8640,120,,Fukai et al. 1973,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 2,,TK-35a,bone mineral,,3610,110,,Fukai et al. 1973,Nishiaki 2017,0,,,1,,,,,,,"TK-35a and TK-35b ""based on the same animal bone, using inorganic and organic materials respectively"" (Nishiaki 2017: 3)"
,Tall-i Mushki,Level 2,,TK-35b,bone collagen,,6800,600,,Fukai et al. 1973,Nishiaki 2017,,,,,,,,,,,"TK-35a and TK-35b ""based on the same animal bone, using inorganic and organic materials respectively"" (Nishiaki 2017: 3)"
,Tall-i Mushki,Level 3,MS-L12-3a,TK-571,charcoal,,7270,80,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,"Date obtained 1984, but not published until 2017"
,Tall-i Mushki,Level 3,MS-K11-3,TKa-13814,charcoal,,7410,35,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 3,MS-K11-3,TKa-13815,charcoal,,7455,35,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 3,MS-K12-3a,TKa-13816,charcoal,,7420,40,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 2,MS-L11-2a1,TKa-13817,charcoal,,7425,35,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 4,MS-L11-4,TKa-13818,charcoal,,7370,30,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 2,MS-L12-2a1/2/3,TKa-13819,charcoal,,7370,35,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 2,MS-L12-2b1,TKa-13820,charcoal,,7330,35,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,
,Tall-i Mushki,Level 1,MS-L12-1b (Room 8),TKa-13821,charcoal,,7270,150,,Nishiaki 2017,Nishiaki 2017,,,,,,,,,,,
TCEC53,Tapeh Abdul Hosein,12032,,GX-6353,charcoal,,8100,255,,Pullar 1981; Pullar 1990,Darabi 2015 (BAR),,,,,,,,,,,
TCEC53,Tapeh Abdul Hosein,12053,,GX-6355,charcoal,,8665,195,,Pullar 1981; Pullar 1990,Darabi 2015 (BAR),,,,,,,,,,,
TCEC53,Tapeh Abdul Hosein,11045,,GX-6356,charcoal,,8945,275,,Pullar 1981; Pullar 1990,Darabi 2015 (BAR),,,,,,,,,,,
TCEC53,Tapeh Abdul Hosein,11021,,GX-6357,charcoal,,8935,245,,Pullar 1981; Pullar 1990,Darabi 2015 (BAR),,,,,,,,,,,
TCEC53,Tapeh Abdul Hosein,11051,,GX-6358,charcoal,,7485,280,,Pullar 1981; Pullar 1990,Darabi 2015 (BAR),,,,,,,,,,,
TCEC53,Tapeh Abdul Hosein,11061,,GX-6359,charcoal,,8655,240,,Pullar 1981; Pullar 1990,Darabi 2015 (BAR),,,,,,,,,,,
TCEC52,Tapeh Sarab,1A,,B-159547,bone collagen,,7470,70,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC52,Tapeh Sarab,3,,B-159548,bone collagen,,7950,60,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC52,Tapeh Sarab,5,,B-159549,bone collagen,,7800,60,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC52,Tapeh Sarab,4,,B-159550,bone collagen,,8070,60,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC52,Tapeh Sarab,SI-4,,P-465,charcoal,,7610,100,,Voigt & Dyson 1992,Darabi 2015 (BAR),,,,,,,,,,,
TCEC52,Tapeh Sarab,SI-5,,P-466,charcoal,,7960,100,,Voigt & Dyson 1992,Darabi 2015 (BAR),,,,,,,,,,,
TCEC52,Tapeh Sarab,SI-1,,P-467,charcoal,,7640,90,,Voigt & Dyson 1992,Darabi 2015 (BAR),,,,,,,,,,,
TCEC52,Tapeh Sarab,,,UCLA-1714A,,,7850,0,,Mellaart 1975,Darabi 2015 (BAR),,,,,,,,,,,
,Telul eth-Thalathat II,,,TK-198,unknown,,7800,80,,"Fukai et al. 1981, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Telul eth-Thalathat II,,,TK-199a,charcoal,,6340,390,,"Fukai et al. 1981, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Telul eth-Thalathat II,,,TK-199b,charcoal,,6680,290,,"Fukai et al. 1981, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Telul eth-Thalathat II,,,TK-23,unknown,carbinized herb,7360,100,,"Sato et al. 1969, Bernbeck 1994, Banadora",CONTEXT,,,,,,,,,,,
,Telul eth-Thalathat II,,,TK-24,charcoal,charcoal and carbonized herbs,7520,120,,"Sato et al. 1969, Bernbeck 1994",CONTEXT,,,,,,,,,,,
,Telul eth-Thalathat II,,,TKa-13418,charcoal,,7520,60,,,Roberts et al. 2017,,,,,,,,,,,
,Telul eth-Thalathat II,,,TKa-13420,charcoal,,7600,60,,,Roberts et al. 2017,,,,,,,,,,,
,Telul eth-Thalathat II,,,TKa-13421,charcoal,,7620,50,,,Roberts et al. 2017,,,,,,,,,,,
TCEC51,Tepe Guran,D,,B-147111,bone collagen,,7630,60,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,F,,B-147112,bone collagen,,7260,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,H,,B-147113,bone collagen,,7950,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,K,,B-147114,bone collagen,,7080,60,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,L,,B-147115,bone collagen,,7940,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,N,,B-147116,bone collagen,,3690,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,P,,B-147117,bone collagen,,7890,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,Q,,B-147118,bone collagen,,8070,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,R,,B-147119,bone collagen,,8000,50,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,U,,B-147120,bone collagen,,8060,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,V,,B-147121,bone collagen,,7820,50,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,T,,B-147122,bone collagen,,8170,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,L,,B-177116,bone collagen,,8130,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,V,,B-177117,bone collagen,,8280,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,H,,B-177131,bone collagen,,7810,40,,Zeder 2008b,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,U,,K-1006,charcoal,Pistacia,8410,200,,"Tauber 1968, Hole 1987a",Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,H,,K-879,charcoal,,7760,150,,Hole 1987a,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,H,,UNKNOWN-001,charcoal,,5810,150,,Mortensen 2014,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,U,,UNKNOWN-002,charcoal,,6460,200,,Mortensen 2014,Darabi 2015 (BAR),,,,,,,,,,,
TCEC51,Tepe Guran,V,,UNKNOWN-003,charcoal,,6720,200,,Mortensen 2014,Darabi 2015 (BAR),,,,,,,,,,,
,Yanik,P5,,P-1243,charcoal,,6926,80,,Chataigner 1995,CONTEXT,,,,,,,,,,,
,Yanik,P7,,P-1244,charcoal,,7035,69,,Chataigner 1995,CONTEXT,,,,,,,,,,,
,Zawi Chemi Shanidar,,,W-179,charcoal,,12400,400,,"Hole and Flannery 1967, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Zawi Chemi Shanidar,,,W-667,charcoal,,10600,300,,"Rubin and Alexander 1960, Solecki, R.S. 1963, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Zawi Chemi Shanidar,,,W-681,charcoal,,10800,300,,"Rubin and Alexander 1960, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Zeribar,,,Y-1160,pollen,,14800,300,,Hole 1987,CONTEXT,,,,,,,,,,,
,Zeribar,,,Y-934,pollen,,5460,120,,Hole 1987,CONTEXT,,,,,,,,,,,