site_id,source_id,lchto_id,name,name2,latitude,longitude,coord_precision,coord_source,morphology,chronology,short_period,period_LP,period_MP,period_UP,period_EP,period_N0,period_N1.1,period_N1.2,period_N2,period_N3,period_C1,period_C2,period_C3,period_B,period_H,area,finds_n,excavated,references,comments
276,,,Mahidasht 26,,34.23324,46.90728,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
277,,,Mahidasht 27,,34.25419,46.91147,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
278,,,Mahidasht 28,,34.26173,46.91147,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
279,,,Mahidasht 29,,34.23575,46.94498,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
280,,,Mahidasht 30,,34.28603,46.96425,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
281,,,Mahidasht 31,,34.29608,46.98687,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
282,,,Mahidasht 32,,34.24832,47.09998,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
283,,,Mahidasht 33,,34.22151,47.26169,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
284,,,Mahidasht 34,,34.29608,47.2508,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
285,,,Mahidasht 35,,34.32205,47.21812,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
286,,,Mahidasht 36,,34.34132,47.18796,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
287,,,Mahidasht 37,,34.33211,47.1578,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
288,,,Mahidasht 38,,34.42176,46.97431,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
289,,,Mahidasht 39,,34.47035,46.98436,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
290,,,Mahidasht 40,,34.44187,47.01955,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
291,,,Mahidasht 41,,34.44857,47.0229,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
292,,,Mahidasht 42,,34.467,47.06061,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
293,,,Mahidasht 43,,34.48376,47.03715,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
294,,,Mahidasht 44,,34.49549,46.99525,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
295,,,Mahidasht 45,,34.71333011,46.68105847,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
296,,,Mahidasht 46,,34.68484311,46.66346356,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
297,,,Mahidasht 47,,34.66473464,46.67184209,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
298,,,Mahidasht 48,,34.64797758,46.67351779,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
299,,,Mahidasht 49,,34.61613916,46.67016638,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
300,,,Mahidasht 50,,34.60273351,46.64167938,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
301,,,Mahidasht 51,,34.57676007,46.64754435,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
302,,,Mahidasht 52,,34.59100357,46.68022062,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
303,,,Mahidasht 53,,34.59519284,46.69278841,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
304,,,Mahidasht 54,,34.58765216,46.73551891,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
305,,,Mahidasht 55,,34.57257081,46.74724886,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
306,,,Mahidasht 56,,34.54324595,46.69278841,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
307,,,Mahidasht 57,,34.52397533,46.67435564,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
308,,,Mahidasht 58,,34.51894821,46.72127541,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
309,,,Mahidasht 59,,34.52900245,46.73551891,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
310,,,Mahidasht 60,,34.40081094,46.6626257,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
311,,,Mahidasht 61,,34.38154032,46.71038332,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
312,,,Mahidasht 62,,34.37148608,46.70619406,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
313,,,Mahidasht 63,,34.36310755,46.717924,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
314,,,Mahidasht 64,,34.35221546,46.7321675,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
315,,,Mahidasht 65,,34.32624202,46.74389744,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
316,,,Mahidasht 66,,34.30613355,46.71708615,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
317,,,Mahidasht 67,,34.27429513,46.71876185,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
318,,,Mahidasht 68,,34.25334881,46.74389744,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
319,,,Mahidasht 69,,34.27513299,46.75311383,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
320,,,Mahidasht 70,,34.24497028,46.78579009,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
321,,,Mahidasht 71,,34.23156463,46.79584433,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
322,,,Mahidasht 72,,34.2357539,46.8017093,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
323,,,Mahidasht 73,,34.24245672,46.80924998,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
324,,,Mahidasht 74,,34.24161887,46.81343924,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
325,,,Mahidasht 75,,34.23072678,46.85030478,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
326,,,Mahidasht 76,,34.26005163,46.84946692,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
327,,,Mahidasht 77,,34.27010587,46.83270986,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
328,,,Mahidasht 78,,34.2659166,46.82768275,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
329,,,Mahidasht 79,,34.26926802,46.81008783,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
330,,,Mahidasht 80,,34.32707987,46.79835789,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
331,,,Mahidasht 81,,34.32707987,46.80673642,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
332,,,Mahidasht 82,,34.32875558,46.81343924,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
333,,,Mahidasht 83,,34.32205276,46.81092569,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
334,,,Mahidasht 84,,34.31534993,46.81679066,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
335,,,Mahidasht 85,,34.31451208,46.82935845,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
336,,,Mahidasht 86,,34.3212149,46.8427641,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
337,,,Mahidasht 87,,34.30780925,46.8427641,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
338,,,Mahidasht 88,,34.31199852,46.85030478,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
339,,,Mahidasht 89,,34.3052957,46.84946692,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
340,,,Mahidasht 90,,34.28267366,46.8712511,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
341,,,Mahidasht 91,,34.25334881,46.88800816,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
342,,,Mahidasht 92,,34.2374296,46.90308952,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
343,,,Mahidasht 93,,34.23240248,46.91146805,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
344,,,Mahidasht 94,,34.24078101,46.91984658,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
345,,,Mahidasht 95,,34.25502451,46.91817087,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
346,,,Mahidasht 96,,34.25921378,46.91733302,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
347,,,Mahidasht 97,,34.48375839,46.96676634,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
348,,,Mahidasht 98,,34.49381262,46.99944261,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
349,,,Mahidasht 99,,34.46951488,46.98938838,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
350,,,Mahidasht 100,,34.44856856,47.03044317,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
351,,,Mahidasht 101,,34.47956912,47.03128103,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
352,,,Mahidasht 102,,34.5013533,47.04636238,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
353,,,Mahidasht 103,,34.46700133,47.06228159,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
354,,,Mahidasht 104,,34.46532562,47.06730871,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
355,,,Mahidasht 105,,34.40751376,47.04468667,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
356,,,Mahidasht 106,,34.46113635,47.11339062,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
357,,,Mahidasht 107,,34.44773071,47.14271548,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
358,,,Mahidasht 108,,34.37818891,47.12176915,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
359,,,Mahidasht 109,,34.36562111,47.11255277,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
360,,,Mahidasht 110,,34.28853863,47.04217312,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
361,,,Mahidasht 111,,34.25251096,47.04971379,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
362,,,Mahidasht 112,,34.24245672,47.04887594,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
363,,,Mahidasht 113,,34.24329457,47.10249853,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
364,,,Mahidasht 114,,34.27680869,47.11255277,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
365,,,Mahidasht 115,,34.30864711,47.15444542,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
366,,,Mahidasht 116,,34.32289061,47.15863468,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
367,,,Mahidasht 117,,34.33043129,47.16031039,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
368,,,Mahidasht 118,,34.32372846,47.16449966,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
369,,,Mahidasht 119,,34.33126914,47.17874316,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
370,,,Mahidasht 120,,34.33880982,47.1904731,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
371,,,Mahidasht 121,,34.34886405,47.2047166,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
372,,,Mahidasht 122,,34.32037705,47.22063581,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
373,,,Mahidasht 123,,34.33043129,47.24912281,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
374,,,Mahidasht 124,,34.2927279,47.25247422,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
375,,,Mahidasht 125,,34.2499974,47.2189601,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
376,,,Mahidasht 126,,34.24161887,47.19131095,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
377,,,Mahidasht 127,,34.19972622,47.20052733,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
378,,,Mahidasht 128,,34.19888836,47.29101546,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
379,,,Bestansur,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,Bouqras,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,Chagar Bazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,Areni 1 cave,,39.7215,45.1855,,Literature,,,,,,,,,,,,,,,,,,,,,Areshian 2012; Pinhasi et al. 2010,
383,,,Grai Resh,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,Uqair A,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,Eshkaft-e Gelimgoush,,34.687622,46.87745,,Literature,,Early Upper Palaeolithic and Neolithic,UP+N,,,x,,?,?,?,?,?,,,,,,,,,Heydari-Guran et al. 2021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,Dalma Tepe,,37.013644,CEC,,Literature,,,,,,,,,,,,,,,,,,,,,Stuckenrath 1963,
388,,,Dava Göz,,38.490335,45.032101,,Literature,,,,,,,,,,,,,,,,,,,,,Abedi 2016,
389,,,Dinkha Tepe,,37.006287,45.167536,,Literature,,,,,,,,,,,,,,,,,,,,,Lawn 1970; Lawn 1973,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,Es Sinn,,35.27,40.35,,Literature,,,,,,,,,,,,,,,,,,,,,Roodenberg 1979; Bernbeck 1994; Benz 2014; CalPal; Flohr et al. 2016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,Gird-i Rostam,,35.753,45.915,,Literature,,,,,,,,,,,,,,,,,,,,,Potts et al. 2019,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,Gurga Chiya,,35.213442,45.921032,,Literature,,,,,,,,,,,,,,,,,,,,,Wengrow et al. 2016,
398,,,Gusir Höyük,,37.727352,41.821224,,Literature,,,,,,,,,,,,,,,,,,,,,Karul 2011; Benz 2014; Flohr et al. 2016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
403,MR003,,Mehran 3,,33.0442,46.548,5,Literature,,Lower Palaeolithic,,x,,,,,,,,,,,,,,40000,,,Darabi et al. 2012,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
405,MR005,,Mehran 5,,33.0484,46.5607,5,Literature,,Upper Palaeolithic,,,,x,,,,,,,,,,,,2500,,,Darabi et al. 2012,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
410,MR009,,Mehran 9,,33.1085,46.493,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,100000,,,Darabi et al. 2012,
411,MR010,,Mehran 10,,33.1504,46.5075,5,Literature,,"Upper Palaeolithic, Epipalaeolithic?",,,,x,x,,,,,,,,,,,600,,,Darabi et al. 2012,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
413,MR012,,Mehran 12,,33.094,46.4573,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,6750,,,Darabi et al. 2012,
414,MR013,,Mehran 13,,33.0944,46.4407,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,300000,,,Darabi et al. 2012,
415,MR014,,Mehran 14,,33.113,46.4737,5,Literature,,Middle Palaeolithic,,,x,,,,,,,,,,,,,80000,,,Darabi et al. 2012,
416,MR015,,Amar Merdeg 1,Mehran 15,33.1688,46.2622,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,162500,,,Biglari et al. 2000; Biglari & Shidrang 2006; Darabi et al. 2012,
417,MR016,,Amar Merdeg 2,Mehran 16,33.1719,46.2586,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,52500,,,Biglari et al. 2000; Biglari & Shidrang 2006; Darabi et al. 2012,
418,MR017,,Amar Merdeg 3,Mehran 17,33.1853,46.2406,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,2000000,,,Biglari et al. 2000; Biglari & Shidrang 2006; Darabi et al. 2012,
419,MR018,,Amar Merdeg 4,Mehran 18,33.1897,46.2257,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,2100000,,,Biglari et al. 2000; Biglari & Shidrang 2006; Darabi et al. 2012,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
422,MR021,,Mehran 21,,33.1774,46.2023,5,Literature,,Middle Palaeolithic,,,x,,,,,,,,,,,,,1280000,,,Darabi et al. 2012,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
424,MR023,,Mehran 23,,33.1365,46.2,5,Literature,,Lower Palaeolithic,,x,,,,,,,,,,,,,,3000,,,Darabi et al. 2012,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
435,MR034,,Kelaw Pikeh,Mehran 34,33.1069,46.5673,5,Literature,,Upper Palaeolithic,,,,x,,,,,,,,,,,,216,,,Nokandeh 2010; Darabi et al. 2012,
436,MR035,,Mehran 35,,33.0602,46.5499,5,Literature,,,,,,,,,,,,,,,,,,180000,,,Darabi et al. 2012,
437,MR036,,Mehran 36,,33.0602,46.5499,5,Literature,,Middle Palaeolithic,,,x,,,,,,,,,,,,,8800000,,,Darabi et al. 2012,
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
